,acc_num,eppi_id,short_title,title,journal,year,date_assessed,include,reason,country,geographic_region,site_details,comparator,wetland_class,saline_or_freshwater,disturbance_category,disturbance_type,restoration_time_period,restoration_activity,time_since_restoration
151,A379,827,"Lindstrom et al., 2019",Effect of Habitat Management on Duck Behavior and Distribution During Spring Migration in Indiana,Journal of Fish and Wildlife Management,2019,22-Feb-24,Y,,USA,Indiana,Patoka River National Wildlife Refuge ,"Disturbed, Restored, Reference",wetland,freshwater,Multiple,"ditching and dreding, creation og a 3200 ha impoundment upstream of refuge, agricultural land use ",,,
152,A381,830,"Lishawa et al., 2019",Invasive species removal increases species and phylogenetic diversity of wetland plant communities,Ecology and Evolution ,2019,22-Feb-24,Y,"A vegetation manipulation experiment testing the effects of marsh zone and Typha removal intensities, no reference comparator ",USA,Michigan ,Cedarville Marsh/Munuscong Marsh,,,,,,,,
153,A393,851,"Lynum et al., 2021",Microbial Community Response to a Passive Salt Marsh Restoration,Estuaries and Coasts,2020,23-Feb-24,Y,,USA,Massachusett ,Cape Cod,"Reference, Restored",marsh,saline,Residential and commercial development,road/culvert construction resulted in restricted tidal exchange resulting in degredation,2016,"replacement of culvert with a spanning bridge constructed over the creek, allowing for the return of nearly full tidal flooding to the degraded marsh.",0-1 years
154,A394,853,"MacDonald et al., 2010",The Legacy of Agricultural Reclamation on Channel and Pool Networks of Bay of Fundy Salt Marshes,Estuaries and Coasts,2010,23-Feb-24,Y,,Canada,New Brunswick/Nova Scotia border,Bay of Fundy ,"Reference, Restored",marsh,saline,Agriculture and aquaculture,draining and ditching for agricultural use,unclear,filling of ditches for restoration of hydrology ,unclear
155,A396,855,"MacDonald et al., 2018",Using the Tea Bag Index to characterize decomposition rates in restored peatlands,Boreal Environment Research,2018,23-Feb-24,Y,,Canada,Alberta/Manitoba/Quebec,,"Disturbed, Restored, Reference",peatland,freshwater,Multiple,"biological resource use (peat extraction), installation of a mineral soil pad for oil extraction","1991, 1999-2000, 2006, 2009, 2012","levelling of peatland surface, filling or blocking drainage ditches, re-wetting, re-vegetation using donor material from nearby natural peatlands.","4 years, 7 years, 10 years, 16-17 year, 25 years "
156,A396,855,"MacDonald et al., 2018",Using the Tea Bag Index to characterize decomposition rates in restored peatlands,Boreal Environment Research,2018,23-Feb-24,Y,,Canada,Alberta/Manitoba/Quebec,,"Disturbed, Restored, Reference",peatland,freshwater,Multiple,"biological resource use (peat extraction), installation of a mineral soil pad for oil extraction","1991, 1999-2000, 2006, 2009, 2012","levelling of peatland surface, filling or blocking drainage ditches, re-wetting, re-vegetation using donor material from nearby natural peatlands.","5 years, 7 years, 10 years, 16-17 year, 25 years"
157,A399a,862,Maietta 2017,Chapter 2: Site history and edaphic features override the influence of plant species on microbial communities in restored tidal freshwater wetlands ,PhD Thesis,2017,26-Feb-24,Y,,USA,Maryland,Chesapeake Bay,"Reference, Restored",wetland,freshwater,Residential and commercial development,intense development in area resulted in reduced tidal freshwater wetland acreage and their associated ecosystem function ,"1992-1993, 2000",one site restored by raising the elevation with dredged Anacostia river sediments and then contoured with a mud cat in the other site soils were scraped down at Wootons to restore wetland hydrology,"19-20 years, 12 years"
158,A399b,862,Maietta 2017,Chapter 3: Distribution of sil and carbon associated with water soil aggregrates and metals in a natural and restored tidal freshwater wetlands of the Chesapeake Bay region ,PhD Thesis,2017,26-Feb-24,Y,,USA,Maryland,Chesapeake Bay,"Reference, Restored",wetland,freshwater,Residential and commercial development,intense development in area resulted in reduced tidal freshwater wetland acreage and their associated ecosystem function ,"1992-1993, 2001",one site restored by raising the elevation with dredged Anacostia river sediments and then contoured with a mud cat in the other site soils were scraped down at Wootons to restore wetland hydrology,"19-20 years, 12 years"
159,A402,871,"Marchetti et al., 2010","Evaluating Wetland Restoration Success Using Aquatic Macroinvertebrate Assemblages in the Sacramento Valley, California",Restoration Ecology ,2010,26-Feb-24,Y,,USA,California,Sacramento Valley,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,hydrology disrupted for agricultural land use,"2002, 1983","restoration of hydrology, habitat restoration",">1 year, <20 years"
160,A405,883,"Marton et al., 2014",Functional Differences between Natural and Restored Wetlands in the Glaciated Interior Plains,Journal of Environmental Quality ,2014,26-Feb-24,Y,,USA,Indiana,Kankakee Sands Preserve,"Disturbed, Restored, Reference",wetland,freshwater,Agriculture and aquaculture,disruption of hydrology for agricultural land use,"1999-2005, 2006",filling in surrounding drainage ditches with soil excavated from on-site,"4 years, 5-10 years"
161,A406,884,"Marton et al., 2015","A comparison of the spatial variability of denitrification and related soil properties in restored and natural depression wetlands in Indiana, USA","International Journal of Biodiversity, Science, Ecosystem Services and Management",2015,26-Feb-24,Y,,USA,Indiana,Kankakee Sands Preserve,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,disruption of hydrology for agricultural land use,2001,"filling in surrounding drainage ditches (2001), active managment: seeding, invasive species removal, and prescribed fires every 2–3 years. ",9 years
162,A411,900,Mayer and Galatowitsch 1999,Diatom communities as ecological indicators of recovery in restored prairie wetlands,Wetlands,1999,26-Feb-24,Y,,USA,South Dakota,Marshall and Roberts County ,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,"disruption of hydrology (draining and ditching) to produce agricultural land for grain production, seeding to pasture for cattle grazing",1980-1992,restoration of hydrology through plugging drainage ditches ,3-15 years
163,A412,901,Mayer and Galatowitsch 2001,Assessing ecosystem integrity of restored prairie wetlands from species production-diversity relationships,Hydrobiologia,2001,26-Feb-24,Y,,USA,South Dakota,Prairie Coteau,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,"disruption of hydrology (draining and ditching) to produce agricultural land for grain production, seeding to pasture for cattle grazing",1980-1993,restoration of hydrology through plugging drainage ditches ,3-15 years
164,A412,901,Mayer and Galatowitsch 2001,Assessing ecosystem integrity of restored prairie wetlands from species production-diversity relationships,Hydrobiologia,2001,26-Feb-24,Y,,USA,South Dakota,Prairie Coteau,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,"disruption of hydrology (draining and ditching) to produce agricultural land for grain production, seeding to pasture for cattle grazing",1980-1994,restoration of hydrology through plugging drainage ditches ,3-15 years
165,A414a,912a,McDonough 2013,Chapter 1: The impact of agricultural wetland restoration on Delmarva bay soils,PhD Thesis,2013,27-Feb-24,Y,,USA,Maryland,Choptank River/Tuckahoe Creek,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,disruption of hydrology (drained for agricultural use) ,2002-2003,restoration of hydrology through plugging drainage ditches with earthen mounds to reestablish a more natural hydroperiod,7-8 years 
166,A414b,912b,McDonough 2013,Chapter 2: The impact of agricultural wetland restoration on surface hydrologic connectivity between depressional wetlands and adjacent streams,PhD Thesis,2013,27-Feb-24,Y,,USA,Maryland,Choptank River/Tuckahoe Creek,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,disruption of hydrology (drained for agricultural use) ,2002-2004,Hydrological restoration involved removing wetlands from agricultural use and plugging drainage ditches ,7-8 years 
167,A415a,913a,McFarland 2015,Chapter 2: Above-ground Vegetation and Seed Bank Community Differences between Natural and Restored Wetlands on the Delmarva Peninsula,Masters Thesis ,2020,27-Feb-24,Y,,USA,Maryland,Chesapeake Bay,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,agricultural land use,1982-2008,"soil excavation and compaction,  planting of grasses and woody species",5-31 years
168,A415b,913b,McFarland 2015,Chapter 3: Restoration Effects on Annual Biomass Production and PlantBased Carbon Content in Depressional Wetlands on the Delmarva Peninsula,Masters Thesis ,2020,27-Feb-24,Y,,USA,Maryland,Chesapeake Bay,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,agricultural land use,1982-2008,"soil excavation and compaction,  planting of grasses and woody species",5-31 years
169,A417,916,McKenna 2003,Community metabolism during early development of a restored wetland,Wetlands,2003,27-Feb-24,Y,,USA,New York ,Montezuma Marsh,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,conversion of land for agricultural use,1996,"restoration of hydrology by raising a small access-
road and installing a water-control structure to impound
 water",0-3 years
170,A418,922,"McNeil et al., 2018",Using a natural reference system to evaluate songbird habitat restoration,Avian and Conservation Ecology ,2018,27-Feb-24,Y,,USA ,Pennsylvania,Poconos,"Reference, Restored",wetland,freshwater,Biological resource use,timber production and harvesting,2004-2013,"cessation of harvesting, implementation of timber harvest guidelines to promote habitat ",1-10 years
171,A418,922,"McNeil et al., 2018",Using a natural reference system to evaluate songbird habitat restoration,Avian and Conservation Ecology ,2018,27-Feb-24,Y,,USA ,Pennsylvania,Poconos,"Reference, Restored",wetland,freshwater,Biological resource use,timber production and harvesting,2004-2014,"cessation of harvesting, implementation of timber harvest guidelines to promote habitat ",1-10 years
172,A424,937,Meyer and Whiles 2008,Macroinvertebrate communities in restored and natural Platte River slough wetlands,Freshwater Science,2008,27-Feb-24,Y,,USA,Nebraska,Platte River,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,draining for crop production and development ,1987-1998,"land contouring, seeding, tree removal ",5-16 years
173,A424,937,Meyer and Whiles 2008,Macroinvertebrate communities in restored and natural Platte River slough wetlands,Freshwater Science,2008,27-Feb-24,Y,,USA,Nebraska,Platte River,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,draining for crop production and development ,1987-1999,"land contouring, seeding, tree removal ",5-16 years
174,A425,938,"Meyer et al., 2008",Ecosystem recovery across a chronosequence of restored wetlands in the platte river valley,Ecosystems,2008,27-Feb-24,Y,,USA,Nebraska,Platte River,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,draining for crop production and development ,1995-2001,restored through land contouring and planting with native seed or seedlings collected from nearby natural wetlands,1-7 years 
175,A426,939,"Meyer et al., 2010",Plant Community Recovery following Restoration in Temporally Variable Riparian Wetlands,Restoration Ecology ,2010,27-Feb-24,Y,,USA,Nebraska,Platte River,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,draining for crop production and development ,1995-2001,restored through land contouring and planting with native seed or seedlings collected from nearby natural wetlands,1-7 years 
176,A429,944,"Zhou et al., 2022",Microbial drivers of methane emissions from unrestored industrial salt ponds,The ISME Journal,2022,27-Feb-24,Y,,USA,California ,Menlo Park,"Disturbed, Restored, Reference",marsh,saline,Energy production and mining,diking for salt production (salt farming) ,2008,"Restoration work included improving the flood control levee and constructing berms (dividing the pond into two cells), canals (an inlet and outlet to provide uniform water flow through the cells), 30 bird nesting islands, water control structures (to regulate water levels and flow rates of the ponds)",6 years 
177,A430,950,Miller and Able 2002,"Movements and growth of tagged young-of-the-year Atlantic croaker (Micropogonias undulatus L.) in restored and reference marsh creeks in Delaware Bay, USA",Journal of Experimental Marine Biology and Ecology,2002,27-Feb-24,Y,,USA,New Jersey,Delaware Bay,"Reference, Restored",marsh,saline,Energy production and mining,diking for salt production (salt farming) ,1996,restoration of normal tidal flow and vegetation ,2 years
178,A430,950,Miller and Able 2002,"Movements and growth of tagged young-of-the-year Atlantic croaker (Micropogonias undulatus L.) in restored and reference marsh creeks in Delaware Bay, USA",Journal of Experimental Marine Biology and Ecology,2002,27-Feb-24,Y,,USA,New Jersey ,Delaware Bay,"Reference, Restored",marsh,saline,Energy production and mining,diking for salt production (salt farming) ,1996,restoration of normal tidal flow and vegetation ,2 years
179,A446,995,"Mushet et al., 2022","Floristic quality assessment of one natural and three restored wetland complexes in North Dakota, USA",Wetlands,2002,28-Feb-24,Y,,USA,North Dakota,prairie pothole,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,draining and ditching to convert land for agricultural use ,"1987, 1990, 1993","restoration of hydrology, reseeding ","2 years, 5 years, 8 years"
180,A451,1006,"Neff et al., 2009",Rapid Seed Bank Development in Restored Tidal Freshwater Wetlands,Restoration Ecology ,2009,28-Feb-24,Y,,USA,Washington,Anacostia watershed,"Reference, Restored",marsh,freshwater,Not specified,disruption of elevation? unclear,"1992-1993, 2000","dredging and filling of containment cells with Anacostia River sediment to elevations sufficient to support emergent macrophytes then after a period of dewatering, seven native species were planted. 1992–1993 (7 years prior to Kingman Marsh) using dredge material to raise elevations to levels suitable for wetland vegetation","0-3 years, 7 years "
181,A453,1009,"Nemerson and Able, 2005",Juvenile sciaenid fishes respond favorably to Delaware Bay marsh restoration,Ecological Engineering,2005,28-Feb-24,Y,,USA,New Jersey,Delaware Bay,"Disturbed, Restored",marsh,saline,Energy production and mining,salt mining/farming ,1996,restoration of hydrology through filling of created channels ,1-3 years
182,A455a,1018a,Noel 2006,Chapter 2: Spatial and Environmental Variability of Pools on a Natural and a Recovering Salt Marsh in the Bay of Fundy,Masters Thesis,2006,28-Feb-24,Y,,Canada,New Brunswick,Bay of Fundy ,"Reference, Restored",marsh,saline,Multiple,"dyking, ditching, and construction of barns and roads, as well as forestry and gravel extraction in the adjacent upland and beach",1950/1991,"dyke breach (1950), then full dike removal and boardwalk construction to restore hydrology (1991) ","13-14 years, 54-55 years"
183,A455b,1018b,Noel 2006,Chapter 3: Macroinvertebrate communities of salt marsh pools: comparison of a natural and recovering marsh,Masters Thesis,2006,28-Feb-24,Y,,Canada,New Brunswick,Bay of Fundy ,"Reference, Restored",marsh,saline,Multiple,"dyking, ditching, and construction of barns and roads, as well as forestry and gravel extraction in the adjacent upland and beach",1950/1992,"dyke breach (1950), then full dike removal and boardwalk construction to restore hydrology (1991) ","13-14 years, 54-55 years"
184,A458,1026,"Nugent et al., 2015",Multi-year net ecosystem carbon balance of a restored peatland reveals a return to carbon sink,Global Change Biology ,2018,28-Feb-24,Y,,Canada,Quebec/Ontario,Bois-Des-Bel/Mer Blue ,"Reference, Restored",peatland,freshwater,Biological resource use,peat harvesting ,1999,"Sphagnum-moss transfer technique, straw mulch was also spread and a phosphorus fertilizer was applied throughout the site",14 years
185,A459,1028,"Andersen et al., 2013",Nutrient mineralisation and microbial functional diversity in a restored bog approach natural conditions 10 years post restoration,Soil Biology and Biochemistry,2013,28-Feb-24,Y,,Canada,Quebec ,Bois-Des-Bel,"Disturbed, Restored",peatland,freshwater,Biological resource use,peat harvesting ,1999,"Sphagnum-moss transfer technique, straw mulch was also spread and a phosphorus fertilizer was applied throughout the site",11 years
186,A468,1044,"Orr et al., 2014",Spatial Autocorrelation of Denitrification in a Restored and a Natural Floodplain,Wetlands,2014,29-Feb-24,Y,,USA,Wisconsin,Baraboo River floodplain,"Reference, Restored",shallow open water,freshwater,Agriculture and aquaculture,"levee construction, land used for growing crops ",2002-2003,removed drainage structures and installed a water control gate ,1-2 years
187,A470,1053,Page 2008,"Chapter 2: Methods ""Above and below ground characteristics of reference and restored wetlands of central New York with an emphasis on mycorrhizal ecology""",Masters Thesis,2008,29-Feb-24,Y,,USA,New York ,Cowaselon Creek Watershed,"Reference, Restored",wetland,freshwater,Multiple,"disruption of hydrology for agricultural use, housing development ",1995-1997,restoration of hydrology/ two restoration sites were red maple swamps that were turned into emergent marsh for mitigation purposes in response to a nearby housing development,8-10 years 
188,A471,1054,Palardy 2018,"Chapter 4: Carbon Dynamics in Restored and Natural Wetlands ""Impact of Restoration Activity on Wetland Soil Properties and Functions""",Masters Thesis,2018,29-Feb-24,Y,,USA,Delaware/Maryland,Delmarva region,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,land conversion for agricultural use - poultry and feed corn production,"1986, 1992, 1993, 2000, 2002, 2004, 2007 ",scraping; the use of machinery to lower the soil surface to the water table restoring hydrology  ,? 15 years 
189,A473,1058,Kobiela and Dekeyser 2010,Evaluation of Restored and Native Prairie Pothole Region Plant Communities Following an Environmental Gradient,Natural Areas Journal,2010,29-Feb-24,Y,,USA,North Dakota,prairie pothole,"Reference, Restored",,,,,,,
190,A474,1059,Paradis and Rochefort 2016,Management of the margins in cutover bogs: ecological conditions and effects of afforestation,Wetlands Ecology and Management,2016,29-Feb-24,Y,,Canada,New Brunswick,Pointe-Sapin ,"Disturbed, Restored, Reference",peatland,freshwater,Biological resource use,peat harvesting,1991-1994,"cessation of mining, planting of black spruce and eastern larch ",17-20 years
191,A475,1060,Park 2017,Chapter 4: Influence of Restoration and Wetland presence on pollinator communities and their use of vegetarion in an agricultural matrix,Masters Thesis ,2017,29-Feb-24,Y,,USA,Nebraska,Platte River,"Disturbed, Restored, Reference",wetland,freshwater,Agriculture and aquaculture,disruption of hydrology for row-crop agriculture,unclear,"self-design restoration, which consists of sediment removal and natural reestablishment of the native wetland seed bank",unclear
192,A485,1084,"Petrone et al., 2001",Ecosystem scale evapotranspiration and net CO2 exchange from a restored peatland,Hydrological Processes,2001,01-Mar-24,Y,,Canada,Quebec ,Bois-Des-Bel ,"Reference, Restored",peatland,freshwater,Biological resource use,peat harvesting (vacuum) ,1999,"surface tilling to remove surface debris, partial filling of the drainage ditches with surface debris (mostly wood and peat), construction of a series of bunds along topographic contours, and the spreading of Sphagnum diaspores at a density ratio of approximately 1:10",0-2 years
193,A486,1085,"Petrone et al., 2003",Ecosystem-scale flux of CO2 from a restored vacuum harvested peatland,Wetlands Ecology and Management,2003,01-Mar-24,Y,,Canada,Quebec ,Bois-Des-Bel ,"Reference, Restored",peatland,freshwater,Biological resource use,peat harvesting (vacuum) ,1999,"surface tilling to remove surface debris, partial filling of the drainage ditches with surface debris (mostly wood and peat), construction of a series of bunds along topographic contours, and the spreading of Sphagnum diaspores at a density ratio of approximately 1:11",0-2 years
194,A489,1090,"Pfiefer-Meister et al., 2012","Restoring wetland prairies: tradeoffs among native plant cover, community composition, and ecosystem functioning",Ecosphere,2012,01-Mar-24,Y,,USA,Oregon ,West Eugene Wetlands,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,land conversion for commercial grass-seed production/pastures ,1998-2004,"Topsoil removal using a large excavator to remove approximately 10 cm of topsoil from each site followed by solarization, sites were tilled and covered with clear plastic sheets for a minimum of three months. After preparation, all sites were seeded with a similar mix of native graminoids and forbs.",1-7 years
195,A492,1105,Poppe and Rybczyk 2021,"Tidal marsh restoration enhances sediment accretion and carbon accumulation in the Stillaguamish River estuary, Washington",PLos One,2021,02-Mar-24,Y,,USA,Washington,Stillaguamish River estuary,,,,,,,,
196,A495,1110,"Poulin et al., 1999",Conservation of bog plant species assemblages: Assessing the role of natural remnants in mined sites,Applied Vegetation Science,1999,02-Mar-24,Y,,Canada,Quebec,Bois-des-Bel,,,,,,,,
197,A496,1113,"Poulin et al., 2013",A New Approach for Tracking Vegetation Change after Restoration: A Case Study with Peatlands,Restoration Ecology ,2013,02-Mar-24,Y,,Canada,Quebec,Bois-des-Bel,,,,,,,,
198,A497,1114,Powell and Colier 2000,Habitat use and reproductive success of western snowy plovers at new nesting areas created for California least terns,Journal of Wildlife Management ,2000,02-Mar-24,Y,,USA,California,San Diego ,,,,,,,,
199,A498,1116,"Power et al., 2018","Vegetation trends in a restored coastal wetland at Prisoners Harbor, Santa Cruz Island, Channel Islands National Park",Western North American Naturalist ,2018,02-Mar-24,Y,,USA,Califnornia,Santa Cruz Island ,,,,,,,,
200,A499,1117,"Bortolotti et al., 2016",Prairie wetland communities recover at different rates following hydrological restoration,Freshwater Biology ,2016,02-Mar-24,Y,,Canada,Saskatchewan,prairie pothole,,,,,,,,
201,A502,1123,Price 1996,"Hydrology and microclimate of a partly restored cutover bog, Quebec",Hydrological Processes,1996,04-Mar-24,Y,,Canada,Quebec,,,,,,,,,
202,A503,1124,Price 1997,"Soil moisture, water tension, and water table relationships in a managed cutover bog",Journal of Hydrology ,1997,04-Mar-24,Y,,Canada,Quebec,Sainte-Margeurite-Mari,,,,,,,,
203,A504,1126,"Price et al., 2002",Use of shallow basins to restore cutover peatlands: Hydrology,Restoration Ecology ,2002,04-Mar-24,Y,,Canada,Quebec,"Lac Saint Jean,",,,,,,,,
204,A506,1131,Puchniak 2002,Recovery of bird and amphibian assemblages in restored wetlands in Prairie Canada,Masters Thesis ,2002,04-Mar-24,Y,,Canada,Alberta/Saskatchewan,,,,,,,,,
205,A508,1135,Put 2013,"Comparison of the Vegetation and Seed Banks of Natural and Restored Wetlands in the Prairie Pothole Region, Saskatchewan.",Masters Thesis,2013,04-Mar-24,Y,,Canada,Saskatechwan,prairie pothole,"Reference, Restored",,,,,,,
206,A512,1145,Raposa and Roman 2003,"Nekton utilization of tidally restricted, restoring, and reference New England salt marshes",Estuaries,2003,,Y,,USA,New England,Massachusetts/Rhode Island,,,,,,,,
207,A515,1148,Raposa and Roman 2003,Using gradients in tidal restriction to evaluate nekton community responses to salt marsh restoration,Estuaries and Coasts,2003,,Y,,USA,New England,Massachusetts/Rhode Island,,,,,,,,
208,A516,1150,"Raposa et al., 2015",Evaluating Tidal Wetland Restoration Performance Using National Estuarine Research Reserve System Reference Sites and the Restoration Performance Index (RPI),Estuaries and Coasts,2015,,Y,extract only relevant US states,USA,Eastern coastal US,,,,,,,,,
209,A519,1154,"Ray et al., 2012","Using Vegetative Nutrient Stocks to Compare Restored and Reference Wetlands in the Upper Klamath Basin, Oregon",Wetlands,2012,,Y,,USA,Oregon,Upper Klamath Basin,,,,,,,,
210,A520,1155,Reed 2002,"Understanding Tidal Marsh Sedimentation in the Sacramento-San Joaquin Delta, California",Journal of Coastal Research ,2002,,Y,,USA,California,Sacramento-San Joaquin Delta,"Reference, Restored",,,,,,,
211,A522,1158,Reeves 2014,"Amphibian stress, survival, and habitat quality in restored agricultural wetlands in central Iowa",Masters Thesis ,2014,,Y,,USA,Iowa,Des Moines,,,,,,,,
212,A527,1172,Mulhouse and Galatowitsch 2003,Revegetation of prairie pothole wetlands in the mid-continental US: twelve years post-reflooding.,Plant Ecology ,2003,,Y,,USA,Iowa/Minnesota/South Dakota,,,,,,,,,
213,A534,1199,"Roman et al., 2002",Quantifying vegetation and nekton response to tidal restoration of a New England salt marsh,Restoration Ecology ,2002,,Y,,USA,Rhode Island,,,,,,,,,
214,A543,1216,"Rubin et al., 2021",Flooding and ecological restoration promote wetland microbial communities and soil functions on former cranberry farmland,PLos One,2021,,Y,,USA,Massachusetts ,Southeast Massachusetts,"Disturbed, Restored, Reference",,,,,,,
215,A544,1218,Rusello 2005 ,Wetland restoration in urban settings: Studies of vegetation and seed banks in restored and reference tidal freshwater marshes,Masters Thesis,2005,,Y,,USA,Washington ,Anacostia River,"Reference, Restored",,,,,,,
216,A546,1222,Saiki and Mejia 2009,UTILIZATION BY FISHES OF THE ALVISO ISLAND PONDS AND ADJACENT WATERS IN SOUTH SAN FRANCISCO BAY FOLLOWING RESTORATION TO TIDAL INFLUENCE,California Fish and Game,2009,,Y,,USA,California,San Francisco Bay,"Reference, Restored",,,,,,,
217,A547,1223,"Salaria et al., 2018",Incomplete recovery of plant diversity in restored prairie wetlands on agricultural landscapes,Restoration Ecology ,2018,,Y,,Canada,Alberta,prairie pothole region,"Disturbed, Restored, Reference",,,,,,,
218,A548,1224,"Salk et al., 2017",Wetland restoration and hydrologic reconnection result in enhanced watershed nitrogen retention and removal,Wetlands,2017,,Y,,USA,Michigan ,Bear Lake Watershed,"Reference, Restored",,,,,,,
219,A550,1226,"Sanderson et al., 2008",Simulated natural hydrologic regime of an intermountain playa conservation site,Wetlands,2008,,Y,,USA,Colordao,Mishak Lakes Complex ,,,,,,,,
220,A551,1227,Sandler and Mason 2010 ,Flooding to manage dodder (Cuscuta gronovii) and broad-leaved weed species in cranberry: An innovative use of a traditional strategy,Renewable Agriculture and Food Systems,2010,,Y,,USA,Massachusetts,,,,,,,,,
221,A554,1234,"Schafer et al., 2019",Carbon dioxide fluxes of temperate urban wetlands with different restoration history,Agricultural and Forest Meteorology ,2019,,Y,,USA,New Jersey,Meadowlands,"Disturbed, Restored, Reference",,,,,,,
222,A556,1238,Schimelpfenig 2012,The effects of long term drainage and restoration on soil properties of southern Rocky Mountain sedge fens,Masters Thesis,2012,,Y,,USA,Colorado,Rocky Mountain National Park ,"Reference, Restored",,,,,,,
223,A557,1239,"Schimelpfenig et al., 2013",Effectiveness of Ditch Blockage for Restoring Hydrologic and Soil Processes in Mountain Peatlands,Restoration Ecology ,2013,,Y,,USA,Colorado,Rocky Mountain National Park ,"Reference, Restored",,,,,,,
224,A560,1244,"Schultz et al., 2020",Floristic and Macroinvertebrate Responses to Different Wetland Restoration Techniques in Southeastern Wisconsin,Wetlands,2020,,Y,,USA,Wisconsin,,"Reference, Restored",,,,,,,
225,A561,1247,"Schummer et al., 2012","Comparisons of Bird, Aquatic Macroinvertebrate, and Plant Communities Among Dredged Ponds and Natural Wetland Habitats at Long Point, Lake Erie, Ontario",Wetlands,2012,,Y,,Canada,Ontario,Lake Erie ,,,,,,,,
226,A562,1251,Seabloom and van der Valk 2002,"Plant diversity, composition, and invasion of restored and natural prairie pothole wetlands: Implications for restoration",Journal of Applied Ecology ,2003,,Y,,USA,Iowa ,prairie pothole,"Reference, Restored",,,,,,,
227,A563,1252,Seabloom and van der Valk 2003,The development of vegetative zonation patterns in restored prairie pothole wetlands,Wetlands,2003,,Y,,USA,Iowa ,prairie pothole,"Reference, Restored",,,,,,,
228,A565,1254,Seebacher 2008,"<i>Phalaris arundinacea</i> control and riparian restoration within agricultural watercourses in King County, Washington",PhD Thesis ,2008,,Y,,USA,Washington ,King County ,,,,,,,,
229,A566,1258,Severns 2010,"Habitat restoration facilitates an ecological trap for a locally rare, wetland- restricted butterfly",Insect Conservation and Diversity ,2010,,Y,,USA,Ohio,,,,,,,,,
230,A568,1261,Shantz and Price 2006,"Characterization of surface storage and runoff patterns following peatland restoration, Quebec, Canada",Hydrological Processes,2006,,Y,,Canada,Quebec,Bois-Des-Bel,,,,,,,,
231,A618,1374,Strack et al 2016,Controls on plot-scale growing season CO2 and CH4 fluxes in restored peatlands: Do they differ from unrestored and natural sites?,Mires and Peat,2016,,Y,,Canada,"Alberta, Quebec","Bois-des-Bel, Bic-St.-Fabien, Pointe-Lebel, Seba Beach, Peace River inversion pad, Wandering River","Disturbed, Restored",,,,,,,
232,A622,1379,Streeter and Schilling 2015,"A comparison of soil properties observed in farmed, restored and natural closed depressions on the Des Moines Lobe of Iowa",CATENA,2015,,Y,,USA,Iowa,Prairie Pothole Region,"Reference, Restored",,,,,,,
233,A623,1380,Streeter and Schilling 2017,"Soil Properties in Native, Reconstructed, and Farmed Prairie Potholes: A Chronosequence Study of Restoration Timeframes",Ecological Restoration,2017,,Y,"* called ""reconstructed"" but it is restoration",USA,Iowa,Prairie Pothole Region,"Reference, Restored",,,,,,,
234,A624,1381,Streever et al 2003,Evaluation of Percent Cover Requirements for Revegetation of Disturbed Sites on Alaska's North Slope,Arctic,2003,,Y,,USA,Alaska,Arctic coastal plain,"Reference, Restored",,,,,,,
235,A626,1385,Stryszowska-Hill et al 2019,Performance of wetland environmental quality assessment indicators at evaluating palustrine wetlands in northeastern New York State,Ecological Indicators,2019,,Y,,USA,New York,St. Lawrence River Valley,,,,,,,,
236,A628,1389,Sueltenfuss & Cooper 2019,A new approach for hydrologic performance standards in wetland mitigation,Journal of Environmental Management,2019,,Y,"*Large dataset, not all wetlands geographically relevant",USA,"Colorado, mid-Atlantic",,,,,,,,,
237,A629,1390,Sueltenfuss & Cooper 2019,Hydrologic similarity to reference wetlands does not lead to similar plant communities in restored wetlands,Restoration Ecology,2019,,Y,,USA,Colorado,,"Reference, Restored",,,,,,,
238,A636,1406,Taillefer & Wheeler 2011,Community assembly of Diptera following restoration of mined boreal bogs: taxonomic and functional diversity,Journal of Insect Conservation,2011,,Y,,Canada,Quebec,Bois-des-Bel,,,,,,,,
239,A643,1420,Taylor et al 2014,Comparing Vegetation and Soils of Remnant and Restored Wetland Prairies in the Northern Willamette Valley,Northwest Science,2014,,Y,,USA,Oregon,Willamette Valley,"Reference, Restored",,,,,,,
240,A648,1429,Galatowitsch & van der Valk 1996,The Vegetation of Restored and Natural Prairie Wetlands,Ecological Application,1996,,Y,,USA,Iowa,Prairie Pothole Region,"Reference, Restored",,,,,,,
