"acc_num","eppi_id","short_title","title","journal","year","date_assessed","person","include","reason","country","geographic_region","site_details","comparator","wetland_class","saline_or_freshwater","disturbance_category","disturbance_type","restoration_time_period","restoration_activity","time_since_restoration","study_information","notes","measured_outcome","other_outcome","multivariate_community_composition","univariate_diversity_metric","richness","abundance_density","cover","biomass","stem_density","litter_biomass","canopy_height_structure","primary_productivity","body_size","bulk_density","soil_organic_matter","organic_carbon","cation_exchange_capacity","total_carbon","phosphorus","microbial_biomass","physiochemical_soil_property","soil_nutrients","carbon_mineralization","physiochemical_water_properties","plant_tissues_chemical_analysis","eddy_flux_measurements","ghg_emissions","gross_ecosystem_productivity","hydrology","other"
"A412","901","Mayer and Galatowitsch 2001","Assessing ecosystem integrity of restored prairie wetlands from species production-diversity relationships","Hydrobiologia","2001","26-Feb-24","KG","Y","","USA","South Dakota","Prairie Coteau","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","disruption of hydrology (draining and ditching) to produce agricultural land for grain production, seeding to pasture for cattle grazing","1980-1992","restoration of hydrology through plugging drainage ditches ","3-15 years","Study Site: The wetlands selected for the study comprised both restored and reference wetlands in the Prairie Coteau region of northeastern South Dakota. Restored wetlands, located on private lands enrolled in the Conservation Reserve Program or on Waterfowl Production Areas managed by the Waubay National Wildlife Refuge, had drainage ditches plugged with earth to restore them. Restoration activities occurred 3–15 years prior to the study, with no additional restoration efforts such as reseeding or soil addition.  Control wetlands, used as references, had never been drained or restored. They were located on Waterfowl Production Areas where cultivation was prohibited. Both restored and reference wetlands were subjected to cattle grazing, which was considered a disturbance. Grazing occurred at various intensities concurrently with or 1–2 years prior to the study.
Wetland Size and Depth: Wetland depths and sizes were measured at various points in each wetland using an optical range finder. A two-sample t-test was employed to compare the sizes and depths of restored and reference wetlands.
Sampling: Diatoms were collected in 1995 using artificial substrates placed at the centers and four additional points within the emergent vegetation-free zone of each wetland. These substrates were clear rectangular plates made of mylarTM plastic suspended below the water surface. Diatom samples were collected early and late in the season, and transplants were performed concurrently with the early-season sampling. Plates were transported between wetlands, and all transplanted plates were collected concurrently with the late-season samples. Diatoms were removed from the plates, cleaned, and mounted for examination under a microscope. They were identified to species, and counts were made along known transects using a microscope micrometer. Diatom counts were standardized per mm^2 of the original substrate area sampled. Diatom production was estimated from standing crop biomass measured from biovolume. Volume calculation assumed all frustule shapes to be cylindrical. Production estimates were normalized before statistical analysis.
Statistical analysis: Statistical analyses included one-way ANOVA to test the influence of species type on variability in total production, two-way ANOVA to test the effects of wetland type and sample type on species diversity and production, MANOVA to test variability in mean production among species by wetland type, and simple linear regression to test for relationships between diversity and production. Each treatment-sample type was analyzed separately.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"1 (wetland depth and size)",""
"A412","901","Mayer and Galatowitsch 2001","Assessing ecosystem integrity of restored prairie wetlands from species production-diversity relationships","Hydrobiologia","2001","26-Feb-24","KG","Y","","USA","South Dakota","Prairie Coteau","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","disruption of hydrology (draining and ditching) to produce agricultural land for grain production, seeding to pasture for cattle grazing","1980-1992","restoration of hydrology through plugging drainage ditches ","3-15 years","Study Site: The wetlands selected for the study comprised both restored and reference wetlands in the Prairie Coteau region of northeastern South Dakota. Restored wetlands, located on private lands enrolled in the Conservation Reserve Program or on Waterfowl Production Areas managed by the Waubay National Wildlife Refuge, had drainage ditches plugged with earth to restore them. Restoration activities occurred 3–15 years prior to the study, with no additional restoration efforts such as reseeding or soil addition.  Control wetlands, used as references, had never been drained or restored. They were located on Waterfowl Production Areas where cultivation was prohibited. Both restored and reference wetlands were subjected to cattle grazing, which was considered a disturbance. Grazing occurred at various intensities concurrently with or 1–2 years prior to the study.
Wetland Size and Depth: Wetland depths and sizes were measured at various points in each wetland using an optical range finder. A two-sample t-test was employed to compare the sizes and depths of restored and reference wetlands.
Sampling: Diatoms were collected in 1995 using artificial substrates placed at the centers and four additional points within the emergent vegetation-free zone of each wetland. These substrates were clear rectangular plates made of mylarTM plastic suspended below the water surface. Diatom samples were collected early and late in the season, and transplants were performed concurrently with the early-season sampling. Plates were transported between wetlands, and all transplanted plates were collected concurrently with the late-season samples. Diatoms were removed from the plates, cleaned, and mounted for examination under a microscope. They were identified to species, and counts were made along known transects using a microscope micrometer. Diatom counts were standardized per mm^2 of the original substrate area sampled. Diatom production was estimated from standing crop biomass measured from biovolume. Volume calculation assumed all frustule shapes to be cylindrical. Production estimates were normalized before statistical analysis.
Statistical analysis: Statistical analyses included one-way ANOVA to test the influence of species type on variability in total production, two-way ANOVA to test the effects of wetland type and sample type on species diversity and production, MANOVA to test variability in mean production among species by wetland type, and simple linear regression to test for relationships between diversity and production. Each treatment-sample type was analyzed separately.","","Phytoplankton","",1,NA,1,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A414a","912a","McDonough 2013","Chapter 1: The impact of agricultural wetland restoration on Delmarva bay soils","PhD Thesis","2013","27-Feb-24","KG","Y","","USA","Maryland","Choptank River/Tuckahoe Creek","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","disruption of hydrology (drained for agricultural use) ","2002-2003","restoration of hydrology through plugging drainage ditches with earthen mounds to reestablish a more natural hydroperiod","7-8 years ","Study Site: The study area is situated in the Choptank River watershed on the Delmarva Peninsula. The Choptank watershed is predominantly in agricultural use, leading to high nutrient and sediment loading in the river network and Chesapeake Bay. Four forested, three historical (drained for agriculture), and three hydrologically restored Delmarva bay wetlands were chosen for the study.
Sampling: Soil samples were collected in June 2010 using soil probes at a depth of 0-10 cm within each wetland. Triplicate cores were collected randomly within each wetland and stored until analysis. Soil Analysis: Soil samples were analyzed for various parameters including moisture content, bulk density, soil organic matter (SOM) content, total carbon, total nitrogen, and soil nitrate. Soil nitrate was determined using KCl extraction, and denitrification potential was assessed using the denitrification enzyme activity (DEA) assay method. Sediment and Nutrient Accumulation: Feldspar clay pads were deployed in forested and restored wetlands to measure rates of net vertical accretion and net sediment, carbon, nitrogen, and phosphorus accumulation. Net vertical accretion rates were measured using thin-walled aluminum cylinders, and accumulated material was analyzed for various parameters. Statistical Analysis: Statistical analyses included one-way analysis of variance (ANOVA), Tukey's honestly significant difference (HSD) multiple mean comparisons tests, Student’s t-tests, Pearson’s product-moment correlation analyses, and principal component analysis (PCA) to assess variability in soil properties across wetland types.","(PCA) to assess variability in soil properties across wetland types","Abiotic","",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,NA,NA,1,1,NA,1,1,"",NA,NA,NA,NA,NA,"",""
"A414b","912b","McDonough 2013","Chapter 2: The impact of agricultural wetland restoration on surface hydrologic connectivity between depressional wetlands and adjacent streams","PhD Thesis","2013","27-Feb-24","KG","Y","","USA","Maryland","Choptank River/Tuckahoe Creek","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","disruption of hydrology (drained for agricultural use) ","2002-2004","Hydrological restoration involved removing wetlands from agricultural use and plugging drainage ditches ","7-8 years ","Study Site: Coastal Plain temporary streams in the headwaters of Tuckahoe Creek watershed, within the Choptank River watershed. Four forested wetland complexes, four historical wetlands, and three hydrologically restored wetlands were selected. Hydrological restoration involved removing wetlands from agricultural use and plugging drainage ditches.
Sampling: Binary polypropylene float switches and state data loggers were used to monitor surface hydrologic connectivity (SHC). Recorded timing and duration of surface water presence in temporary streams.
Physical Attributes: Watershed drainage area and wetland area calculated using LiDAR-derived digital elevation models.
Statistical Analyses: Quantification and comparison of SHC metrics among different wetland types. Assessment of correlations between wetland area and SHC metrics.
Analysis of the relationship between daily rainfall and temporary stream connections. Included Pearson's product-moment correlation coefficient, one-way analysis of covariance (ANCOVA), Tukey's honestly significant difference (HSD) multiple mean comparisons test, and Student's t-tests.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,"1",""
"A415a","913a","McFarland 2015","Chapter 2: Above-ground Vegetation and Seed Bank Community Differences between Natural and Restored Wetlands on the Delmarva Peninsula","Masters Thesis ","2020","27-Feb-24","KG","Y","","USA","Maryland","Chesapeake Bay","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","agricultural land use","1982-2008","soil excavation and compaction,  planting of grasses and woody species","5-31 years","Study Sites: Depressional wetlands on the Mid-Atlantic Coastal Plain located on the Delmarva Peninsula in Delaware and on the Eastern Shore of Maryland. Twelve sites selected from a subset of 48 wetlands. Five natural forested depressions and ten restored systems on farmlands. Restoration methods involved soil excavation and compaction, with some planting of grasses and woody species.
Research Plot Selection: Wetlands divided into 10 sections with top sections facing north to create a stratified random plot design. Transects set up in sections 1, 4, and 7 in most wetlands. Wetlands divided into emergent, transition, and upland hydrologic zones (zones 1, 2, and 3) based on hydric soil profiles.
Only zones 1, 2, and 3 sampled. Each sampling section had a 100-m2 circular plot set up in each hydrologic zone.
Vegetation Survey: Conducted in August 2013 at each 100-m2 circular research plot in 15 wetlands. Vegetation cover estimated using cover class designations specified by Peet et al. 1998. Unidentified species brought back to the lab for identification.
Seed Bank Analysis: Conducted in March 2013. Five 5-cm by 5-cm subsample cores taken within each plot. Composite samples washed through screens and spread on soilless planting media in a greenhouse. Seedlings monitored and identified regularly.
Data Analysis: Vegetation and seed bank communities relativized for accurate comparison. Quantification of species richness, Shannon-Weaver diversity index, and Shannon-Weaver evenness. Jaccard’s Similarity Index used to quantify presence of same species between vegetation and seed bank surveys. Ordinations calculated using Bray-Curtis dissimilarities. Univariate and multivariate analyses conducted using analysis of variance, Tukey’s Honest Significant Difference, and PERMANOVA.","","Vegetation","",1,NA,1,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A415b","913b","McFarland 2015","Chapter 3: Restoration Effects on Annual Biomass Production and PlantBased Carbon Content in Depressional Wetlands on the Delmarva Peninsula","Masters Thesis ","2020","27-Feb-24","KG","Y","","USA","Maryland","Chesapeake Bay","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","agricultural land use","1982-2008","soil excavation and compaction,  planting of grasses and woody species","5-31 years","Study Sites: Located on the Delmarva Peninsula of Maryland and Delaware.
Fifteen depressional wetlands selected, divided into ten restorations on farmlands and five natural forested basins. Wetlands divided into hydrologic zones (emergent, transition, and upland, or zones 1, 2, and 3). Each wetland had 3 plots per zone, totaling 9 plots per wetland and 135 total research plots (90 restored and 45 natural).
Sampling: Herbaceous biomass sampled in August 2013. Harvested from 0.25-m2 plots. Biomass weighed in the field and composited subsamples dried in the laboratory. Tree biomass estimated using diameter at breast height (DBH) for standing woody biomass and collection of leaf litter biomass.
Below-ground Biomass: Two 5-cm by 30-cm cylindrical Superfine Peat root ingrowth cores installed at each plot. Left in ground for 8 months (March—November), then extracted and processed. Roots categorized into fine, coarse, and other categories. Biomass values presented in g/m2.
Soil Samples: Two 5-cm by 10-cm cylindrical soil cores taken randomly within each herbaceous plot. Composited, dried, ground, and analyzed for organic matter content.
Carbon: Plant-based carbon content calculated using percent carbon concentration determined with a CHN elemental analyzer. Soil samples analyzed for percent carbon content with a CHN elemental analyzer. Standard carbon content applied to calculated biomass to obtain carbon stocks for standing woody biomasses.
Statistical Analysis: Univariate biomass data analyzed by split-plot analysis of variance. Means compared between hydrologic zones with Tukey’s Honest Significant Difference.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A415b","913b","McFarland 2015","Chapter 3: Restoration Effects on Annual Biomass Production and PlantBased Carbon Content in Depressional Wetlands on the Delmarva Peninsula","Masters Thesis ","2020","27-Feb-24","KG","Y","","USA","Maryland","Chesapeake Bay","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","agricultural land use","1982-2008","soil excavation and compaction,  planting of grasses and woody species","5-31 years","Study Sites: Located on the Delmarva Peninsula of Maryland and Delaware.
Fifteen depressional wetlands selected, divided into ten restorations on farmlands and five natural forested basins. Wetlands divided into hydrologic zones (emergent, transition, and upland, or zones 1, 2, and 3). Each wetland had 3 plots per zone, totaling 9 plots per wetland and 135 total research plots (90 restored and 45 natural).
Sampling: Herbaceous biomass sampled in August 2013. Harvested from 0.25-m2 plots. Biomass weighed in the field and composited subsamples dried in the laboratory. Tree biomass estimated using diameter at breast height (DBH) for standing woody biomass and collection of leaf litter biomass.
Below-ground Biomass: Two 5-cm by 30-cm cylindrical Superfine Peat root ingrowth cores installed at each plot. Left in ground for 8 months (March—November), then extracted and processed. Roots categorized into fine, coarse, and other categories. Biomass values presented in g/m2.
Soil Samples: Two 5-cm by 10-cm cylindrical soil cores taken randomly within each herbaceous plot. Composited, dried, ground, and analyzed for organic matter content.
Carbon: Plant-based carbon content calculated using percent carbon concentration determined with a CHN elemental analyzer. Soil samples analyzed for percent carbon content with a CHN elemental analyzer. Standard carbon content applied to calculated biomass to obtain carbon stocks for standing woody biomasses.
Statistical Analysis: Univariate biomass data analyzed by split-plot analysis of variance. Means compared between hydrologic zones with Tukey’s Honest Significant Difference.","","Vegetation","",NA,1,NA,NA,1,1,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A417","916","McKenna 2003","Community metabolism during early development of a restored wetland","Wetlands","2003","27-Feb-24","KG","Y","","USA","New York","Montezuma Marsh","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","conversion of land for agricultural use","1996","restoration of hydrology by raising a small access-
road and installing a water-control structure to impound
 water","0-3 years","Study Site: Montezuma Marsh, situated along the Seneca River and at the mouth of the two largest Finger Lakes, Seneca and Cayuga, in central New York. The reference site was a wooded wetland that has been undisturbed for the last 50 years. The restoration site was a previously a wooded wetland that was converted to agriculture more than 50 years ago. It was acquired by the Refuge in 1993 and allowed to go fallow for several years before restoration efforts began in August 1996. Sampling: various ecosystem characteristics, including water chemistry, landscape features, and biotic populations, were measured monthly from April 1996 to October 1999. Measurements included water temperature, conductivity, pH, dissolved oxygen, turbidity, total phosphorus, and incident light level.
Productivity Measurements: Net and gross aquatic community productivities were estimated using changes in dissolved oxygen concentration via diurnal oxygen curves. Oxygen and temperature were recorded hourly for 24 hours each month using a dissolved oxygen meter. Gross community production was estimated as the area under the daytime component of the oxygen curve above the respiration line. Terrestrial Productivity Measurements: Terrestrial herbaceous living and dead aboveground plant biomass were sampled monthly at fixed locations. Net aboveground primary production (NAPP) was estimated from changes in plant biomass in randomly located quadrats. Woody plant species at the reference site were characterized by identifying, counting, and measuring their diameter at breast height within randomly placed plots.
Statistical analysis: Aquatic respiration data were analyzed along with square root and log transformations for gross and net aquatic production data, respectively. Statistical tests including two-way Analysis of Variance (ANOVA), paired t-tests, nonparametric analysis, and t-tests were used to analyze the data for significant differences in production rates, respiration rates, and other variables among seasons, years, and sites.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"",1,NA,NA,NA,1,"",""
"A417","916","McKenna 2003","Community metabolism during early development of a restored wetland","Wetlands","2003","27-Feb-24","KG","Y","","USA","New York","Montezuma Marsh","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","conversion of land for agricultural use","1996","restoration of hydrology by raising a small access-
road and installing a water-control structure to impound
 water","0-3 years","Study Site: Montezuma Marsh, situated along the Seneca River and at the mouth of the two largest Finger Lakes, Seneca and Cayuga, in central New York. The reference site was a wooded wetland that has been undisturbed for the last 50 years. The restoration site was a previously a wooded wetland that was converted to agriculture more than 50 years ago. It was acquired by the Refuge in 1993 and allowed to go fallow for several years before restoration efforts began in August 1996. Sampling: various ecosystem characteristics, including water chemistry, landscape features, and biotic populations, were measured monthly from April 1996 to October 1999. Measurements included water temperature, conductivity, pH, dissolved oxygen, turbidity, total phosphorus, and incident light level.
Productivity Measurements: Net and gross aquatic community productivities were estimated using changes in dissolved oxygen concentration via diurnal oxygen curves. Oxygen and temperature were recorded hourly for 24 hours each month using a dissolved oxygen meter. Gross community production was estimated as the area under the daytime component of the oxygen curve above the respiration line. Terrestrial Productivity Measurements: Terrestrial herbaceous living and dead aboveground plant biomass were sampled monthly at fixed locations. Net aboveground primary production (NAPP) was estimated from changes in plant biomass in randomly located quadrats. Woody plant species at the reference site were characterized by identifying, counting, and measuring their diameter at breast height within randomly placed plots.
Statistical analysis: Aquatic respiration data were analyzed along with square root and log transformations for gross and net aquatic production data, respectively. Statistical tests including two-way Analysis of Variance (ANOVA), paired t-tests, nonparametric analysis, and t-tests were used to analyze the data for significant differences in production rates, respiration rates, and other variables among seasons, years, and sites.","","Vegetation","",NA,NA,NA,NA,NA,1,"",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A418","922","McNeil et al., 2018","Using a natural reference system to evaluate songbird habitat restoration","Avian and Conservation Ecology ","2018","27-Feb-24","KG","Y","","USA ","Pennsylvania","Poconos","Reference, Restored","wetland","freshwater","Biological resource use","timber production and harvesting","2004-2013","cessation of harvesting, implementation of timber harvest guidelines to promote habitat ","1-10 years","Study site: The study area was focused on the Poconos region of Pennsylvania, known for its high density of Golden-winged Warblers and minimal agricultural influence. Site selection involved conducting avian point counts within the Delaware State Forest (reference) focusing on natural shrub-wetlands and upland timber harvests conforming to Golden-winged Warbler best management practices (restored) guidelines.
Field surveying: Avian surveys were conducted using standard point count methods, with a focus on detecting singing male Golden-winged Warblers. Surveys were conducted within a specific time window to coincide with the breeding season. Wetland microhabitat quantification: involved conducting vegetation surveys to quantify woody stems and plant strata within wetland habitats, with a focus on early-successional palustrine wetlands. Broad-scale wetland quantification utilized remotely sensed data to examine wetland communities at three spatial scales: 150m, 250m, and 500m radius buffers around each point count location. Wetland composition, upland forest cover, wetland edges, and habitat structure were analyzed.
Analysis: Density estimation and comparison were conducted using distance sampling to compare Golden-winged Warbler territory densities between natural shrub wetlands and managed timber harvests. Wetland habitat modeling involved using N-mixture models to examine how abundance varied as a function of habitat covariates while accounting for imperfect detection probability. Habitat relationships were modeled using microhabitat variables and broad-scale habitat covariates at different spatial scales. Model selection was based on Quasi Akaike’s Information Criterion adjusted for small sample size (QAICc).","Study period was between 2014 and 2015","Vegetation","",NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A418","922","McNeil et al., 2018","Using a natural reference system to evaluate songbird habitat restoration","Avian and Conservation Ecology ","2018","27-Feb-24","KG","Y","","USA ","Pennsylvania","Poconos","Reference, Restored","wetland","freshwater","Biological resource use","timber production and harvesting","2004-2013","cessation of harvesting, implementation of timber harvest guidelines to promote habitat ","1-10 years","Study site: The study area was focused on the Poconos region of Pennsylvania, known for its high density of Golden-winged Warblers and minimal agricultural influence. Site selection involved conducting avian point counts within the Delaware State Forest (reference) focusing on natural shrub-wetlands and upland timber harvests conforming to Golden-winged Warbler best management practices (restored) guidelines.
Field surveying: Avian surveys were conducted using standard point count methods, with a focus on detecting singing male Golden-winged Warblers. Surveys were conducted within a specific time window to coincide with the breeding season. Wetland microhabitat quantification: involved conducting vegetation surveys to quantify woody stems and plant strata within wetland habitats, with a focus on early-successional palustrine wetlands. Broad-scale wetland quantification utilized remotely sensed data to examine wetland communities at three spatial scales: 150m, 250m, and 500m radius buffers around each point count location. Wetland composition, upland forest cover, wetland edges, and habitat structure were analyzed.
Analysis: Density estimation and comparison were conducted using distance sampling to compare Golden-winged Warbler territory densities between natural shrub wetlands and managed timber harvests. Wetland habitat modeling involved using N-mixture models to examine how abundance varied as a function of habitat covariates while accounting for imperfect detection probability. Habitat relationships were modeled using microhabitat variables and broad-scale habitat covariates at different spatial scales. Model selection was based on Quasi Akaike’s Information Criterion adjusted for small sample size (QAICc).","Study period was between 2014 and 2016","Birds","",NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A424","937","Meyer and Whiles 2008","Macroinvertebrate communities in restored and natural Platte River slough wetlands","Freshwater Science","2008","27-Feb-24","KG","Y","","USA","Nebraska","Platte River","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","draining for crop production and development ","1987-1998","land contouring, seeding, tree removal ","5-16 years","Study Site: The study area covered a 90 km stretch of the central Platte River in south central Nebraska, characterized by wet meadows with linear sloughs.Three natural wetland sites and four restored sites, ranging from 5-16 years old, were selected for comparison. Restoration procedures were similar among sites, except for the Johns Clearing site, which had different restoration history.
Sampling: conducted within marked representative reaches of each site. Staff gauges were installed to measure water levels, and hydroperiods were determined. Wetted width, depth, water volume, temperature, dissolved oxygen, pH, conductivity, and substrate composition were measured.
Benthic Invertebrate Sampling and Processing: Macroinvertebrates were sampled monthly using dipnets and drop traps. Samples were processed, sorted, and identified to the lowest practical taxonomic level. Invertebrate biomass was estimated using length-mass relationships. An invertebrate index of biotic integrity (IBI) was calculated for each site based on ten macroinvertebrate metrics.
Analysis of Macroinvertebrate Data: Statistical analysis included mixed models with repeated measures, orthogonal contrast statements, and transformation of data to meet assumptions.Differences in abundance, biomass, richness, diversity, and IBI scores were tested between wetland types and over time. Non-metric multidimensional scaling (NMDS) and analysis of similarity (ANOSIM) were used to compare community composition among sites. Vector fitting was performed to examine correlations between community composition and environmental variables.","NMDS","Benthic infauna","",1,NA,1,1,NA,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A424","937","Meyer and Whiles 2008","Macroinvertebrate communities in restored and natural Platte River slough wetlands","Freshwater Science","2008","27-Feb-24","KG","Y","","USA","Nebraska","Platte River","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","draining for crop production and development ","1987-1998","land contouring, seeding, tree removal ","5-16 years","Study Site: The study area covered a 90 km stretch of the central Platte River in south central Nebraska, characterized by wet meadows with linear sloughs.Three natural wetland sites and four restored sites, ranging from 5-16 years old, were selected for comparison. Restoration procedures were similar among sites, except for the Johns Clearing site, which had different restoration history.
Sampling: conducted within marked representative reaches of each site. Staff gauges were installed to measure water levels, and hydroperiods were determined. Wetted width, depth, water volume, temperature, dissolved oxygen, pH, conductivity, and substrate composition were measured.
Benthic Invertebrate Sampling and Processing: Macroinvertebrates were sampled monthly using dipnets and drop traps. Samples were processed, sorted, and identified to the lowest practical taxonomic level. Invertebrate biomass was estimated using length-mass relationships. An invertebrate index of biotic integrity (IBI) was calculated for each site based on ten macroinvertebrate metrics.
Analysis of Macroinvertebrate Data: Statistical analysis included mixed models with repeated measures, orthogonal contrast statements, and transformation of data to meet assumptions.Differences in abundance, biomass, richness, diversity, and IBI scores were tested between wetland types and over time. Non-metric multidimensional scaling (NMDS) and analysis of similarity (ANOSIM) were used to compare community composition among sites. Vector fitting was performed to examine correlations between community composition and environmental variables.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,"1",""
"A425","938","Meyer et al., 2008","Ecosystem recovery across a chronosequence of restored wetlands in the platte river valley","Ecosystems","2008","27-Feb-24","KG","Y","","USA","Nebraska","Platte River","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","draining for crop production and development ","1995-2001","restored through land contouring and planting with native seed or seedlings collected from nearby natural wetlands","1-7 years ","Study Site: nine wetlands along the central Platte River valley in south-central Nebraska. These wetlands included three natural sites and six restored sites, ranging in age from 1 to 7 years old at the start of the assessment. The study region consisted of braided shallow channels of the Platte River and wet meadows with intermittent wetland sloughs. 
Sampling: conducted within designated 30-meter representative reaches at each site. Plant community composition, including richness, diversity, and wetland indicator status, was assessed through visual estimations of cover and species identification. Aboveground biomass and net primary productivity were quantified for major plant groups. Statistical analysis: Data analyses included regression procedures to examine changes over time in plant community metrics and productivity, t-tests to compare natural and restored wetlands, and non-metric multidimensional scaling (NMDS) to analyze plant community composition. Vector fitting was used to examine correlations between plant composition and potential explanatory variables such as hydrology, site type, and restoration age.","Shannon-Wiener Index of diversity","Vegetation","",1,NA,1,1,1,1,"",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A426","939","Meyer et al., 2010","Plant Community Recovery following Restoration in Temporally Variable Riparian Wetlands","Restoration Ecology ","2010","27-Feb-24","KG","Y","","USA","Nebraska","Platte River","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","draining for crop production and development ","1995-2001","restored through land contouring and planting with native seed or seedlings collected from nearby natural wetlands","1-7 years ","Study Sites: Three natural wetlands and six restored wetlands were selected along a 90 km stretch of the Platte River valley. The habitats consisted of braided river channels and adjacent wet meadows. 
Sampling: Soil cores were collected to measure root biomass and soil properties. Root biomass was measured by collecting soil cores and washing roots over sieves. Soil samples were collected to quantify carbon (C) and nitrogen (N) pools, including microbial biomass and short-term C mineralization rates.
Soil Analysis: Soil samples were analyzed for various parameters such as organic matter, bulk density, textural characteristics, pH, and nutrient content. Extractable inorganic N was determined using KCl extraction and subsequent analysis. In situ indices of relative inorganic N availability were obtained using ion exchange resins.
Statistical Analyses: Statistical analyses included comparison of means between restored and natural sites, regression analyses to assess changes over time, analysis of covariance, t-tests for mean comparisons, and correlation analyses to explore relationships among variables. SAS software was used for data analysis.","","Vegetation","",NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A426","939","Meyer et al., 2010","Plant Community Recovery following Restoration in Temporally Variable Riparian Wetlands","Restoration Ecology ","2010","27-Feb-24","KG","Y","","USA","Nebraska","Platte River","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","draining for crop production and development ","1995-2001","restored through land contouring and planting with native seed or seedlings collected from nearby natural wetlands","1-7 years ","Study Sites: Three natural wetlands and six restored wetlands were selected along a 90 km stretch of the Platte River valley. The habitats consisted of braided river channels and adjacent wet meadows. 
Sampling: Soil cores were collected to measure root biomass and soil properties. Root biomass was measured by collecting soil cores and washing roots over sieves. Soil samples were collected to quantify carbon (C) and nitrogen (N) pools, including microbial biomass and short-term C mineralization rates.
Soil Analysis: Soil samples were analyzed for various parameters such as organic matter, bulk density, textural characteristics, pH, and nutrient content. Extractable inorganic N was determined using KCl extraction and subsequent analysis. In situ indices of relative inorganic N availability were obtained using ion exchange resins.
Statistical Analyses: Statistical analyses included comparison of means between restored and natural sites, regression analyses to assess changes over time, analysis of covariance, t-tests for mean comparisons, and correlation analyses to explore relationships among variables. SAS software was used for data analysis.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,"",NA,NA,NA,NA,NA,"",""
